Ore Type,Ore Cat,Buy,Sell
Veldspar,Veldspar,17.24,17.77
Concentrated Veldspar,Veldspar,16.62,885.79
Dense Veldspar,Veldspar,20.82,1092.34
Scordite,Scordite,21.83,23.9
Condensed Scordite,Scordite,22.97,885.79
Massive Scordite,Scordite,24.09,89000
Pyroxeres,Pyroxeres,43.85,397.99
Solid Pyroxeres,Pyroxeres,41.28,44.99
Viscous Pyroxeres,Pyroxeres,40.42,44
Plagioclase,Plagioclase,55.99,3999.98
Azure Plagioclase,Plagioclase,57.16,3449.62
Rich Plagioclase,Plagioclase,57.79,63.75
Omber,Omber,75.17,4000
Silvery Omber,Omber,49.49,50
Golden Omber,Omber,51.4,1299
Kernite,Kernite,220.12,322.98
Luminous Kernite,Kernite,120.39,322.98
Fiery Kernite,Kernite,128.06,1092.34
Jaspet,Jaspet,301.7,322.98
Pure Jaspet,Jaspet,13,397.99
Pristine Jaspet,Jaspet,0,330
Hemorphite,Hemorphite,309.18,650
Vivid Hemorphite,Hemorphite,315.02,44
Radiant Hemorphite,Hemorphite,300,450
Hedbergite,Hedbergite,270.39,477.93
Vitric Hedbergite,Hedbergite,257.99,44
Glazed Hedbergite,Hedbergite,288.23,398
Gneiss,Gneiss,801.3,1299
Iridescent Gneiss,Gneiss,770.04,1590
Prismatic Gneiss,Gneiss,916,3875
Dark Ochre,Dark Ochre,692.33,1092.34
Onyx Ochre,Dark Ochre,430.99,3999.98
Obsidian Ochre,Dark Ochre,422.49,4000
Spodumain,Spodumain,3060.86,44.99
Bright Spodumain,Spodumain,956.32,885.79
Gleaming Spodumain,Spodumain,2869.98,38050
Crokite,Crokite,2192.23,3400
Sharp Crokite,Crokite,2170.03,23.9
Crystalline Crokite,Crokite,2200.02,39111
Bistot,Bistot,1013.6,48999.88
Triclinic Bistot,Bistot,1926.56,44.99
Monoclinic Bistot,Bistot,2472.65,1184.85
Arkonor,Arkonor,2493.41,3449.62
Crimson Arkonor,Arkonor,2630,10000
Prime Arkonor,Arkonor,2950.02,9000
Mercoxit,Mercoxit,36055.03,139999
Magma Mercoxit,Mercoxit,19260.11,89000
Vitreous Mercoxit,Mercoxit,25463.07,44
